IP地址,数据中心,地区,城市,网络延迟
172.64.154.145,HKG,亚太地区,香港,22 ms
104.18.81.38,HKG,亚太地区,香港,23 ms
104.19.153.0,HKG,亚太地区,香港,23 ms
104.16.145.123,HKG,亚太地区,香港,23 ms
104.17.57.177,HKG,亚太地区,香港,23 ms
104.19.38.1,HKG,亚太地区,香港,23 ms
104.19.60.208,HKG,亚太地区,香港,23 ms
104.16.148.5,HKG,亚太地区,香港,23 ms
104.16.146.45,HKG,亚太地区,香港,23 ms
104.16.151.244,HKG,亚太地区,香港,23 ms
104.16.245.74,HKG,亚太地区,香港,23 ms
104.17.118.95,HKG,亚太地区,香港,23 ms
104.19.151.83,HKG,亚太地区,香港,23 ms
104.19.43.206,HKG,亚太地区,香港,23 ms
172.64.228.211,HKG,亚太地区,香港,23 ms
104.17.99.157,HKG,亚太地区,香港,23 ms
104.17.124.252,HKG,亚太地区,香港,23 ms
104.17.153.201,HKG,亚太地区,香港,23 ms
104.17.52.157,HKG,亚太地区,香港,23 ms
104.18.89.50,HKG,亚太地区,香港,23 ms
104.16.152.228,HKG,亚太地区,香港,23 ms
104.17.58.47,HKG,亚太地区,香港,23 ms
104.17.24.13,HKG,亚太地区,香港,23 ms
104.17.29.134,HKG,亚太地区,香港,23 ms
104.17.102.164,HKG,亚太地区,香港,23 ms
104.16.254.100,HKG,亚太地区,香港,23 ms
104.17.157.95,HKG,亚太地区,香港,23 ms
104.16.154.252,HKG,亚太地区,香港,23 ms
104.17.19.93,HKG,亚太地区,香港,23 ms
104.19.33.130,HKG,亚太地区,香港,24 ms
104.17.127.65,HKG,亚太地区,香港,24 ms
104.19.46.19,HKG,亚太地区,香港,24 ms
104.19.53.38,HKG,亚太地区,香港,24 ms
104.17.146.130,HKG,亚太地区,香港,24 ms
104.17.97.165,HKG,亚太地区,香港,24 ms
104.17.96.109,HKG,亚太地区,香港,24 ms
104.17.101.79,HKG,亚太地区,香港,24 ms
104.17.49.165,HKG,亚太地区,香港,24 ms
104.19.32.70,HKG,亚太地区,香港,24 ms
104.19.37.15,HKG,亚太地区,香港,24 ms
104.17.172.233,HKG,亚太地区,香港,24 ms
104.16.242.199,HKG,亚太地区,香港,24 ms
104.17.109.255,HKG,亚太地区,香港,24 ms
104.16.249.104,HKG,亚太地区,香港,24 ms
104.19.149.252,HKG,亚太地区,香港,24 ms
104.19.155.203,HKG,亚太地区,香港,24 ms
172.64.158.162,HKG,亚太地区,香港,24 ms
104.19.58.24,HKG,亚太地区,香港,24 ms
104.16.156.131,HKG,亚太地区,香港,24 ms
104.19.147.196,HKG,亚太地区,香港,24 ms
104.19.49.39,HKG,亚太地区,香港,24 ms
104.17.185.134,HKG,亚太地区,香港,24 ms
104.16.241.188,HKG,亚太地区,香港,24 ms
104.17.125.239,HKG,亚太地区,香港,24 ms
104.19.35.152,HKG,亚太地区,香港,24 ms
104.17.154.160,HKG,亚太地区,香港,24 ms
104.17.170.127,HKG,亚太地区,香港,24 ms
104.17.54.196,HKG,亚太地区,香港,24 ms
104.17.105.181,HKG,亚太地区,香港,24 ms
104.16.252.195,HKG,亚太地区,香港,24 ms
104.19.45.138,HKG,亚太地区,香港,24 ms
104.19.44.231,HKG,亚太地区,香港,24 ms
104.17.167.24,HKG,亚太地区,香港,24 ms
104.17.147.41,HKG,亚太地区,香港,24 ms
104.17.23.230,HKG,亚太地区,香港,24 ms
104.17.116.114,HKG,亚太地区,香港,24 ms
104.18.92.193,HKG,亚太地区,香港,25 ms
104.17.163.28,HKG,亚太地区,香港,25 ms
104.17.31.231,HKG,亚太地区,香港,25 ms
104.17.30.20,HKG,亚太地区,香港,25 ms
104.17.144.209,HKG,亚太地区,香港,25 ms
104.17.176.225,HKG,亚太地区,香港,25 ms
104.19.51.9,HKG,亚太地区,香港,25 ms
104.18.83.233,HKG,亚太地区,香港,25 ms
104.17.123.75,HKG,亚太地区,香港,25 ms
104.16.251.0,HKG,亚太地区,香港,25 ms
104.18.47.61,HKG,亚太地区,香港,25 ms
104.17.191.38,HKG,亚太地区,香港,25 ms
104.16.246.51,HKG,亚太地区,香港,25 ms
104.17.177.170,HKG,亚太地区,香港,25 ms
104.16.158.214,HKG,亚太地区,香港,25 ms
104.17.184.252,HKG,亚太地区,香港,25 ms
104.17.169.220,HKG,亚太地区,香港,25 ms
104.18.85.154,HKG,亚太地区,香港,25 ms
104.18.95.97,HKG,亚太地区,香港,25 ms
104.17.168.87,HKG,亚太地区,香港,25 ms
104.17.145.182,HKG,亚太地区,香港,25 ms
104.17.27.121,HKG,亚太地区,香港,25 ms
104.17.28.222,HKG,亚太地区,香港,25 ms
104.18.87.56,HKG,亚太地区,香港,25 ms
104.16.150.119,HKG,亚太地区,香港,25 ms
104.16.149.32,HKG,亚太地区,香港,25 ms
104.17.189.215,HKG,亚太地区,香港,25 ms
104.17.190.209,HKG,亚太地区,香港,25 ms
104.18.94.70,HKG,亚太地区,香港,25 ms
104.17.56.241,HKG,亚太地区,香港,25 ms
104.18.43.178,HKG,亚太地区,香港,25 ms
104.18.44.44,HKG,亚太地区,香港,25 ms
104.17.17.58,HKG,亚太地区,香港,25 ms
198.41.209.236,HKG,亚太地区,香港,25 ms
104.16.240.211,HKG,亚太地区,香港,26 ms
104.16.157.114,HKG,亚太地区,香港,26 ms
104.17.48.243,HKG,亚太地区,香港,26 ms
104.18.84.19,HKG,亚太地区,香港,26 ms
104.17.107.125,HKG,亚太地区,香港,26 ms
104.17.112.30,HKG,亚太地区,香港,26 ms
104.17.151.74,HKG,亚太地区,香港,26 ms
104.16.147.86,HKG,亚太地区,香港,26 ms
104.17.188.209,HKG,亚太地区,香港,26 ms
104.17.187.219,HKG,亚太地区,香港,26 ms
104.19.144.123,HKG,亚太地区,香港,26 ms
104.19.63.57,HKG,亚太地区,香港,26 ms
104.17.119.102,HKG,亚太地区,香港,26 ms
104.18.39.122,HKG,亚太地区,香港,26 ms
104.17.166.220,HKG,亚太地区,香港,26 ms
104.19.34.191,HKG,亚太地区,香港,26 ms
104.18.86.55,HKG,亚太地区,香港,26 ms
104.17.156.171,HKG,亚太地区,香港,26 ms
104.16.155.41,HKG,亚太地区,香港,26 ms
104.19.40.166,HKG,亚太地区,香港,26 ms
104.19.41.102,HKG,亚太地区,香港,26 ms
104.19.148.104,HKG,亚太地区,香港,26 ms
104.17.16.206,HKG,亚太地区,香港,26 ms
104.17.126.147,HKG,亚太地区,香港,26 ms
104.17.22.214,HKG,亚太地区,香港,26 ms
104.16.250.191,HKG,亚太地区,香港,26 ms
104.17.106.199,HKG,亚太地区,香港,26 ms
104.17.171.229,HKG,亚太地区,香港,26 ms
104.17.115.76,HKG,亚太地区,香港,27 ms
104.17.186.150,HKG,亚太地区,香港,27 ms
104.18.82.79,HKG,亚太地区,香港,27 ms
104.17.174.125,HKG,亚太地区,香港,27 ms
104.17.178.50,HKG,亚太地区,香港,27 ms
104.19.146.32,HKG,亚太地区,香港,27 ms
104.16.243.119,HKG,亚太地区,香港,27 ms
104.17.59.185,HKG,亚太地区,香港,27 ms
104.17.149.190,HKG,亚太地区,香港,27 ms
104.17.223.252,HKG,亚太地区,香港,27 ms
104.16.244.160,HKG,亚太地区,香港,27 ms
104.19.156.163,HKG,亚太地区,香港,27 ms
104.18.88.19,HKG,亚太地区,香港,27 ms
104.17.173.171,HKG,亚太地区,香港,27 ms
104.17.182.69,HKG,亚太地区,香港,27 ms
104.17.25.90,HKG,亚太地区,香港,27 ms
104.17.53.75,HKG,亚太地区,香港,27 ms
104.17.165.195,HKG,亚太地区,香港,28 ms
104.17.220.176,HKG,亚太地区,香港,28 ms
104.17.218.12,HKG,亚太地区,香港,28 ms
104.18.90.33,HKG,亚太地区,香港,28 ms
104.17.148.163,HKG,亚太地区,香港,28 ms
104.18.80.58,HKG,亚太地区,香港,28 ms
104.17.183.231,HKG,亚太地区,香港,28 ms
104.17.179.4,HKG,亚太地区,香港,28 ms
104.17.180.20,HKG,亚太地区,香港,28 ms
104.17.164.210,HKG,亚太地区,香港,28 ms
104.17.219.245,HKG,亚太地区,香港,28 ms
104.17.211.103,HKG,亚太地区,香港,28 ms
104.17.113.100,HKG,亚太地区,香港,29 ms
104.17.122.68,HKG,亚太地区,香港,29 ms
104.18.91.80,HKG,亚太地区,香港,29 ms
104.17.222.3,HKG,亚太地区,香港,29 ms
172.64.155.88,HKG,亚太地区,香港,29 ms
104.17.212.30,HKG,亚太地区,香港,29 ms
104.17.213.241,HKG,亚太地区,香港,29 ms
104.17.175.173,HKG,亚太地区,香港,29 ms
104.17.210.217,HKG,亚太地区,香港,30 ms
104.17.209.98,HKG,亚太地区,香港,30 ms
104.17.160.126,HKG,亚太地区,香港,30 ms
104.17.155.67,HKG,亚太地区,香港,30 ms
104.17.208.225,HKG,亚太地区,香港,30 ms
104.17.159.128,HKG,亚太地区,香港,31 ms
104.17.181.120,HKG,亚太地区,香港,31 ms
104.17.221.104,HKG,亚太地区,香港,32 ms
104.17.216.153,HKG,亚太地区,香港,32 ms
104.17.215.10,HKG,亚太地区,香港,32 ms
104.17.217.245,HKG,亚太地区,香港,32 ms
104.17.214.198,HKG,亚太地区,香港,33 ms
172.64.232.220,SIN,亚太地区,新加坡,52 ms
104.18.145.175,HKG,亚太地区,香港,54 ms
104.19.217.202,HKG,亚太地区,香港,54 ms
104.19.209.161,HKG,亚太地区,香港,54 ms
104.25.255.21,HKG,亚太地区,香港,55 ms
104.25.245.120,HKG,亚太地区,香港,55 ms
104.18.172.141,HKG,亚太地区,香港,55 ms
104.18.225.99,HKG,亚太地区,香港,55 ms
104.18.173.229,HKG,亚太地区,香港,55 ms
104.18.185.214,HKG,亚太地区,香港,55 ms
104.18.187.173,HKG,亚太地区,香港,55 ms
104.17.131.233,HKG,亚太地区,香港,55 ms
104.18.231.220,HKG,亚太地区,香港,55 ms
104.19.208.78,HKG,亚太地区,香港,55 ms
104.18.168.122,HKG,亚太地区,香港,55 ms
104.18.166.50,HKG,亚太地区,香港,55 ms
104.19.222.225,HKG,亚太地区,香港,55 ms
104.18.182.58,HKG,亚太地区,香港,56 ms
104.18.239.94,HKG,亚太地区,香港,56 ms
141.101.115.185,HKG,亚太地区,香港,56 ms
104.18.150.71,HKG,亚太地区,香港,56 ms
104.18.151.154,HKG,亚太地区,香港,56 ms
104.18.227.231,HKG,亚太地区,香港,56 ms
104.16.2.231,HKG,亚太地区,香港,56 ms
104.17.200.85,HKG,亚太地区,香港,56 ms
104.18.148.147,HKG,亚太地区,香港,56 ms
104.25.253.64,HKG,亚太地区,香港,56 ms
104.19.212.88,HKG,亚太地区,香港,56 ms
104.25.254.210,HKG,亚太地区,香港,56 ms
104.17.129.84,HKG,亚太地区,香港,56 ms
104.18.232.251,HKG,亚太地区,香港,57 ms
104.18.156.150,HKG,亚太地区,香港,57 ms
104.18.171.42,HKG,亚太地区,香港,57 ms
104.19.213.250,HKG,亚太地区,香港,57 ms
104.18.152.149,HKG,亚太地区,香港,57 ms
104.25.243.100,HKG,亚太地区,香港,57 ms
104.25.241.37,HKG,亚太地区,香港,57 ms
104.18.233.213,HKG,亚太地区,香港,57 ms
104.25.244.185,HKG,亚太地区,香港,57 ms
190.93.245.151,HKG,亚太地区,香港,57 ms
104.17.130.180,HKG,亚太地区,香港,57 ms
104.18.159.102,HKG,亚太地区,香港,57 ms
104.18.169.161,HKG,亚太地区,香港,57 ms
104.18.144.162,HKG,亚太地区,香港,58 ms
104.19.220.146,HKG,亚太地区,香港,58 ms
104.18.230.225,HKG,亚太地区,香港,58 ms
104.18.163.207,HKG,亚太地区,香港,58 ms
104.18.175.148,HKG,亚太地区,香港,58 ms
104.19.215.25,HKG,亚太地区,香港,58 ms
104.18.161.146,HKG,亚太地区,香港,58 ms
104.18.146.213,HKG,亚太地区,香港,58 ms
104.18.170.4,HKG,亚太地区,香港,58 ms
104.18.165.144,HKG,亚太地区,香港,58 ms
104.18.236.178,HKG,亚太地区,香港,58 ms
91.193.59.247,HKG,亚太地区,香港,58 ms
104.18.164.176,HKG,亚太地区,香港,58 ms
104.17.128.105,HKG,亚太地区,香港,58 ms
103.172.111.251,HKG,亚太地区,香港,58 ms
104.18.155.83,HKG,亚太地区,香港,58 ms
104.18.158.17,HKG,亚太地区,香港,59 ms
104.18.178.31,HKG,亚太地区,香港,59 ms
104.25.246.227,HKG,亚太地区,香港,59 ms
104.17.207.126,HKG,亚太地区,香港,59 ms
104.17.201.139,HKG,亚太地区,香港,59 ms
104.18.228.253,HKG,亚太地区,香港,59 ms
104.19.223.170,HKG,亚太地区,香港,59 ms
104.17.206.234,HKG,亚太地区,香港,59 ms
104.17.202.138,HKG,亚太地区,香港,59 ms
104.18.174.59,HKG,亚太地区,香港,59 ms
104.19.219.10,HKG,亚太地区,香港,59 ms
104.17.192.204,HKG,亚太地区,香港,59 ms
104.18.181.178,HKG,亚太地区,香港,60 ms
104.18.157.185,HKG,亚太地区,香港,60 ms
104.25.247.204,HKG,亚太地区,香港,60 ms
104.25.248.7,HKG,亚太地区,香港,60 ms
104.25.249.54,HKG,亚太地区,香港,60 ms
104.18.238.152,HKG,亚太地区,香港,60 ms
104.18.237.219,HKG,亚太地区,香港,60 ms
104.17.203.71,HKG,亚太地区,香港,60 ms
104.18.234.22,HKG,亚太地区,香港,60 ms
104.19.211.50,HKG,亚太地区,香港,60 ms
104.16.3.160,HKG,亚太地区,香港,60 ms
104.17.204.182,HKG,亚太地区,香港,60 ms
104.18.224.76,HKG,亚太地区,香港,60 ms
104.25.250.226,HKG,亚太地区,香港,60 ms
104.16.5.234,HKG,亚太地区,香港,60 ms
104.18.179.179,HKG,亚太地区,香港,60 ms
104.17.133.246,HKG,亚太地区,香港,61 ms
104.17.197.156,HKG,亚太地区,香港,61 ms
104.18.38.104,HKG,亚太地区,香港,61 ms
104.19.216.90,HKG,亚太地区,香港,61 ms
108.162.198.129,HKG,亚太地区,香港,61 ms
91.193.58.159,HKG,亚太地区,香港,61 ms
104.19.214.93,HKG,亚太地区,香港,61 ms
104.16.12.60,HKG,亚太地区,香港,61 ms
104.18.162.115,HKG,亚太地区,香港,61 ms
104.18.167.126,HKG,亚太地区,香港,61 ms
104.17.140.203,HKG,亚太地区,香港,61 ms
104.18.160.108,HKG,亚太地区,香港,61 ms
104.17.194.107,HKG,亚太地区,香港,62 ms
104.18.177.3,HKG,亚太地区,香港,62 ms
104.16.14.141,HKG,亚太地区,香港,62 ms
104.17.199.235,HKG,亚太地区,香港,62 ms
104.17.135.208,HKG,亚太地区,香港,62 ms
104.25.242.58,HKG,亚太地区,香港,62 ms
104.18.226.32,HKG,亚太地区,香港,62 ms
141.101.114.220,HKG,亚太地区,香港,62 ms
104.17.193.166,HKG,亚太地区,香港,62 ms
104.25.252.78,HKG,亚太地区,香港,63 ms
104.25.251.203,HKG,亚太地区,香港,63 ms
104.17.196.61,HKG,亚太地区,香港,63 ms
104.17.139.59,HKG,亚太地区,香港,63 ms
104.17.138.89,HKG,亚太地区,香港,63 ms
104.17.195.148,HKG,亚太地区,香港,63 ms
104.18.153.78,HKG,亚太地区,香港,63 ms
104.17.136.50,HKG,亚太地区,香港,63 ms
104.18.235.8,HKG,亚太地区,香港,64 ms
104.17.205.132,HKG,亚太地区,香港,65 ms
104.17.198.45,HKG,亚太地区,香港,65 ms
104.17.141.251,HKG,亚太地区,香港,67 ms
104.17.134.248,HKG,亚太地区,香港,67 ms
104.17.142.175,HKG,亚太地区,香港,67 ms
104.17.137.98,HKG,亚太地区,香港,69 ms
1.1.1.237,NRT,亚太地区,东京,72 ms
1.1.1.169,NRT,亚太地区,东京,72 ms
1.1.1.91,NRT,亚太地区,东京,72 ms
103.172.110.156,HKG,亚太地区,香港,72 ms
1.1.1.118,NRT,亚太地区,东京,72 ms
1.1.1.24,NRT,亚太地区,东京,72 ms
1.1.1.217,NRT,亚太地区,东京,73 ms
1.1.1.128,NRT,亚太地区,东京,73 ms
1.1.1.32,NRT,亚太地区,东京,73 ms
1.1.1.207,NRT,亚太地区,东京,73 ms
1.1.1.204,NRT,亚太地区,东京,73 ms
1.1.1.151,NRT,亚太地区,东京,74 ms
1.1.1.116,NRT,亚太地区,东京,74 ms
1.1.1.229,NRT,亚太地区,东京,74 ms
1.1.1.113,NRT,亚太地区,东京,74 ms
1.1.1.200,NRT,亚太地区,东京,74 ms
1.1.1.228,NRT,亚太地区,东京,74 ms
1.1.1.156,NRT,亚太地区,东京,74 ms
1.1.1.138,NRT,亚太地区,东京,74 ms
1.1.1.22,NRT,亚太地区,东京,75 ms
1.1.1.51,NRT,亚太地区,东京,75 ms
1.1.1.215,NRT,亚太地区,东京,75 ms
1.1.1.17,NRT,亚太地区,东京,75 ms
1.1.1.14,NRT,亚太地区,东京,75 ms
1.1.1.223,NRT,亚太地区,东京,75 ms
1.1.1.48,NRT,亚太地区,东京,75 ms
1.1.1.18,NRT,亚太地区,东京,75 ms
1.1.1.234,NRT,亚太地区,东京,75 ms
1.1.1.184,NRT,亚太地区,东京,75 ms
1.1.1.67,NRT,亚太地区,东京,75 ms
1.1.1.217,NRT,亚太地区,东京,75 ms
1.1.1.238,NRT,亚太地区,东京,75 ms
1.1.1.121,NRT,亚太地区,东京,75 ms
1.1.1.108,NRT,亚太地区,东京,75 ms
1.1.1.167,NRT,亚太地区,东京,75 ms
1.1.1.166,NRT,亚太地区,东京,75 ms
1.1.1.176,NRT,亚太地区,东京,76 ms
1.1.1.117,NRT,亚太地区,东京,76 ms
1.1.1.195,NRT,亚太地区,东京,76 ms
1.1.1.179,NRT,亚太地区,东京,76 ms
1.1.1.169,NRT,亚太地区,东京,76 ms
1.1.1.62,NRT,亚太地区,东京,76 ms
1.1.1.196,NRT,亚太地区,东京,76 ms
1.1.1.189,NRT,亚太地区,东京,76 ms
1.1.1.179,NRT,亚太地区,东京,76 ms
1.1.1.99,NRT,亚太地区,东京,76 ms
1.1.1.240,NRT,亚太地区,东京,76 ms
1.1.1.116,NRT,亚太地区,东京,76 ms
1.1.1.235,NRT,亚太地区,东京,76 ms
1.1.1.174,NRT,亚太地区,东京,76 ms
1.1.1.229,NRT,亚太地区,东京,76 ms
1.1.1.207,NRT,亚太地区,东京,76 ms
1.1.1.20,NRT,亚太地区,东京,76 ms
1.1.1.97,NRT,亚太地区,东京,76 ms
1.1.1.201,NRT,亚太地区,东京,76 ms
1.1.1.241,NRT,亚太地区,东京,76 ms
1.1.1.141,NRT,亚太地区,东京,76 ms
1.1.1.217,NRT,亚太地区,东京,76 ms
1.1.1.68,NRT,亚太地区,东京,76 ms
1.1.1.146,NRT,亚太地区,东京,77 ms
1.1.1.132,NRT,亚太地区,东京,77 ms
1.1.1.86,NRT,亚太地区,东京,77 ms
1.1.1.254,NRT,亚太地区,东京,77 ms
1.1.1.0,NRT,亚太地区,东京,77 ms
1.1.1.49,NRT,亚太地区,东京,77 ms
1.1.1.40,NRT,亚太地区,东京,77 ms
1.1.1.149,NRT,亚太地区,东京,77 ms
1.1.1.55,NRT,亚太地区,东京,77 ms
1.1.1.152,NRT,亚太地区,东京,77 ms
1.1.1.202,NRT,亚太地区,东京,77 ms
1.1.1.15,NRT,亚太地区,东京,77 ms
1.1.1.124,NRT,亚太地区,东京,77 ms
1.1.1.163,NRT,亚太地区,东京,77 ms
1.1.1.64,NRT,亚太地区,东京,77 ms
1.1.1.78,NRT,亚太地区,东京,77 ms
1.1.1.109,NRT,亚太地区,东京,77 ms
1.1.1.124,NRT,亚太地区,东京,77 ms
1.1.1.78,NRT,亚太地区,东京,77 ms
1.1.1.74,NRT,亚太地区,东京,77 ms
1.1.1.212,NRT,亚太地区,东京,77 ms
1.1.1.101,NRT,亚太地区,东京,77 ms
1.1.1.131,NRT,亚太地区,东京,77 ms
1.1.1.148,NRT,亚太地区,东京,77 ms
1.1.1.57,NRT,亚太地区,东京,78 ms
1.1.1.219,NRT,亚太地区,东京,78 ms
1.1.1.43,NRT,亚太地区,东京,78 ms
1.1.1.235,NRT,亚太地区,东京,78 ms
1.1.1.19,NRT,亚太地区,东京,78 ms
1.1.1.20,NRT,亚太地区,东京,78 ms
1.1.1.232,NRT,亚太地区,东京,78 ms
1.1.1.99,NRT,亚太地区,东京,78 ms
1.1.1.229,NRT,亚太地区,东京,78 ms
1.1.1.170,NRT,亚太地区,东京,78 ms
1.1.1.68,NRT,亚太地区,东京,78 ms
1.1.1.136,NRT,亚太地区,东京,78 ms
1.1.1.120,NRT,亚太地区,东京,78 ms
1.1.1.121,NRT,亚太地区,东京,78 ms
1.1.1.144,NRT,亚太地区,东京,78 ms
1.1.1.209,NRT,亚太地区,东京,78 ms
1.1.1.47,NRT,亚太地区,东京,78 ms
1.1.1.45,NRT,亚太地区,东京,78 ms
1.1.1.68,NRT,亚太地区,东京,78 ms
1.1.1.216,NRT,亚太地区,东京,78 ms
1.1.1.48,NRT,亚太地区,东京,78 ms
1.1.1.67,NRT,亚太地区,东京,78 ms
1.1.1.66,NRT,亚太地区,东京,78 ms
1.1.1.51,NRT,亚太地区,东京,79 ms
1.1.1.93,NRT,亚太地区,东京,79 ms
1.1.1.118,NRT,亚太地区,东京,79 ms
1.1.1.152,NRT,亚太地区,东京,79 ms
1.1.1.228,NRT,亚太地区,东京,79 ms
1.1.1.166,NRT,亚太地区,东京,79 ms
1.1.1.195,NRT,亚太地区,东京,79 ms
1.1.1.38,NRT,亚太地区,东京,79 ms
1.1.1.208,NRT,亚太地区,东京,79 ms
1.1.1.7,NRT,亚太地区,东京,79 ms
1.1.1.159,NRT,亚太地区,东京,79 ms
1.1.1.140,NRT,亚太地区,东京,79 ms
1.1.1.46,NRT,亚太地区,东京,79 ms
1.1.1.99,NRT,亚太地区,东京,79 ms
1.1.1.139,NRT,亚太地区,东京,79 ms
1.1.1.136,NRT,亚太地区,东京,79 ms
1.1.1.122,NRT,亚太地区,东京,79 ms
1.1.1.66,NRT,亚太地区,东京,79 ms
1.1.1.13,NRT,亚太地区,东京,79 ms
1.1.1.228,NRT,亚太地区,东京,79 ms
1.1.1.152,NRT,亚太地区,东京,79 ms
1.1.1.115,NRT,亚太地区,东京,79 ms
1.1.1.195,NRT,亚太地区,东京,79 ms
1.1.1.37,NRT,亚太地区,东京,79 ms
1.1.1.185,NRT,亚太地区,东京,79 ms
1.1.1.165,NRT,亚太地区,东京,79 ms
1.1.1.29,NRT,亚太地区,东京,79 ms
1.1.1.186,NRT,亚太地区,东京,79 ms
1.1.1.64,NRT,亚太地区,东京,80 ms
1.1.1.9,NRT,亚太地区,东京,80 ms
1.1.1.105,NRT,亚太地区,东京,80 ms
1.1.1.180,NRT,亚太地区,东京,80 ms
1.1.1.3,NRT,亚太地区,东京,80 ms
1.1.1.163,NRT,亚太地区,东京,80 ms
1.1.1.75,NRT,亚太地区,东京,80 ms
172.64.153.144,HKG,亚太地区,香港,80 ms
1.1.1.145,NRT,亚太地区,东京,80 ms
1.1.1.27,NRT,亚太地区,东京,80 ms
1.1.1.15,NRT,亚太地区,东京,80 ms
1.1.1.191,NRT,亚太地区,东京,80 ms
1.1.1.135,NRT,亚太地区,东京,80 ms
1.1.1.56,NRT,亚太地区,东京,81 ms
1.1.1.188,NRT,亚太地区,东京,81 ms
1.1.1.177,NRT,亚太地区,东京,81 ms
1.1.1.26,NRT,亚太地区,东京,81 ms
1.1.1.216,NRT,亚太地区,东京,81 ms
1.1.1.180,NRT,亚太地区,东京,81 ms
1.1.1.89,NRT,亚太地区,东京,81 ms
1.1.1.168,NRT,亚太地区,东京,81 ms
1.1.1.199,NRT,亚太地区,东京,81 ms
1.1.1.248,NRT,亚太地区,东京,81 ms
1.1.1.87,NRT,亚太地区,东京,81 ms
1.1.1.9,NRT,亚太地区,东京,81 ms
1.1.1.32,NRT,亚太地区,东京,81 ms
1.1.1.68,NRT,亚太地区,东京,81 ms
1.1.1.49,NRT,亚太地区,东京,81 ms
1.1.1.73,NRT,亚太地区,东京,81 ms
1.1.1.112,NRT,亚太地区,东京,81 ms
1.1.1.74,NRT,亚太地区,东京,81 ms
1.1.1.158,NRT,亚太地区,东京,81 ms
1.1.1.203,NRT,亚太地区,东京,81 ms
1.1.1.115,NRT,亚太地区,东京,81 ms
1.1.1.229,NRT,亚太地区,东京,81 ms
